Category,Item,ItemType,SuggestedVerbKeysTop,SuggestedVerbLabelsTop,SuggestedVerbKeysMore,SuggestedVerbLabelsMore,SuggestedLocationCategoryNames,SuggestedLocationQuickPickKeys,SuggestedLocationQuickPickLabels,MatchedOverrideRules
Brakes & Air System,ABS Modulator Valve,PART,diagnose|scan|test|replace|program|calibrate|reset|inspect|air_test|leak_check|adjust|bleed|repair|install|remove,Diagnose|Scan|Test|Replace|Program|Calibrate|Reset|Inspect|Air Test|Leak Check|Adjust|Bleed|Repair|Install|Remove,service|torque|pressure_test|clean|lubricate|grease|measure|verify,Service|Torque|Pressure Test|Clean|Lubricate|Grease|Measure|Verify,Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|General Orientation,truck_cab_interior|truck_underbody|steer_axle|trailer_front|general|steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_front|trailer_axle_rear|truck_engine_compartment,Cab - Interior|Underbody|Steer Axle|Trailer - Front|General|Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Front)|Trailer Axle (Rear)|Engine Compartment,KW011
Brakes & Air System,ABS Tone Ring,PART,diagnose|scan|test|replace|program|calibrate|reset|inspect|air_test|leak_check|adjust|bleed|repair|install|remove,Diagnose|Scan|Test|Replace|Program|Calibrate|Reset|Inspect|Air Test|Leak Check|Adjust|Bleed|Repair|Install|Remove,service|torque|pressure_test|clean|lubricate|grease|measure|verify,Service|Torque|Pressure Test|Clean|Lubricate|Grease|Measure|Verify,Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|General Orientation,truck_cab_interior|truck_underbody|steer_axle|trailer_front|general|steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_front|trailer_axle_rear|truck_engine_compartment,Cab - Interior|Underbody|Steer Axle|Trailer - Front|General|Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Front)|Trailer Axle (Rear)|Engine Compartment,KW011
Brakes & Air System,ABS Wiring,PART,diagnose|scan|test|replace|program|calibrate|reset|inspect|air_test|leak_check|adjust|bleed|repair|install|remove,Diagnose|Scan|Test|Replace|Program|Calibrate|Reset|Inspect|Air Test|Leak Check|Adjust|Bleed|Repair|Install|Remove,service|torque|pressure_test|clean|lubricate|grease|measure|verify,Service|Torque|Pressure Test|Clean|Lubricate|Grease|Measure|Verify,Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|General Orientation,truck_cab_interior|truck_underbody|steer_axle|trailer_front|general|steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_front|trailer_axle_rear|truck_engine_compartment,Cab - Interior|Underbody|Steer Axle|Trailer - Front|General|Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Front)|Trailer Axle (Rear)|Engine Compartment,KW011
Brakes & Air System,Air Compressor,PART,diagnose|inspect|air_test|leak_check|adjust|bleed|replace|repair|install|remove|service|torque|pressure_test|test|clean,Diagnose|Inspect|Air Test|Leak Check|Adjust|Bleed|Replace|Repair|Install|Remove|Service|Torque|Pressure Test|Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,General Orientation|Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|Truck / Tractor Areas|Trailer Areas,general|steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_front|trailer_axle_rear|truck_underbody|truck_engine_compartment,General|Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Front)|Trailer Axle (Rear)|Underbody|Engine Compartment,
Brakes & Air System,Air Dryer,PART,diagnose|inspect|air_test|leak_check|adjust|bleed|replace|repair|install|remove|service|torque|pressure_test|test|clean,Diagnose|Inspect|Air Test|Leak Check|Adjust|Bleed|Replace|Repair|Install|Remove|Service|Torque|Pressure Test|Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,General Orientation|Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|Truck / Tractor Areas|Trailer Areas,general|steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_front|trailer_axle_rear|truck_underbody|truck_engine_compartment,General|Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Front)|Trailer Axle (Rear)|Underbody|Engine Compartment,
Brakes & Air System,Air Governor,PART,diagnose|inspect|air_test|leak_check|adjust|bleed|replace|repair|install|remove|service|torque|pressure_test|test|clean,Diagnose|Inspect|Air Test|Leak Check|Adjust|Bleed|Replace|Repair|Install|Remove|Service|Torque|Pressure Test|Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,General Orientation|Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|Truck / Tractor Areas|Trailer Areas,general|steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_front|trailer_axle_rear|truck_underbody|truck_engine_compartment,General|Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Front)|Trailer Axle (Rear)|Underbody|Engine Compartment,
Brakes & Air System,Air Line / Hose,PART,diagnose|inspect|air_test|leak_check|adjust|bleed|replace|repair|install|remove|service|torque|pressure_test|test|clean,Diagnose|Inspect|Air Test|Leak Check|Adjust|Bleed|Replace|Repair|Install|Remove|Service|Torque|Pressure Test|Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,General Orientation|Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|Truck / Tractor Areas|Trailer Areas,general|steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_front|trailer_axle_rear|truck_underbody|truck_engine_compartment,General|Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Front)|Trailer Axle (Rear)|Underbody|Engine Compartment,
Brakes & Air System,Air Tank / Reservoir,PART,diagnose|inspect|air_test|leak_check|adjust|bleed|replace|repair|install|remove|service|torque|pressure_test|test|clean,Diagnose|Inspect|Air Test|Leak Check|Adjust|Bleed|Replace|Repair|Install|Remove|Service|Torque|Pressure Test|Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,General Orientation|Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|Truck / Tractor Areas|Trailer Areas,general|steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_front|trailer_axle_rear|truck_underbody|truck_engine_compartment,General|Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Front)|Trailer Axle (Rear)|Underbody|Engine Compartment,
Brakes & Air System,Brake Adjustment,SERVICE,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
Brakes & Air System,Brake Bleed,SERVICE,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
