key,label,category,sort_order,is_active
inspect,Inspect,inspection,0,TRUE
verify,Verify,diagnostic,10,TRUE
replace,Replace,replacement,20,TRUE
repair,Repair,repair,30,TRUE
test,Test,diagnostic,40,TRUE
diagnose,Diagnose,diagnostic,50,TRUE
clean,Clean,cleaning,60,TRUE
service,Service,maintenance,70,TRUE
measure,Measure,diagnostic,80,TRUE
leak_check,Leak Check,testing,90,TRUE
lubricate,Lubricate,maintenance,100,TRUE
adjust,Adjust,adjustment,110,TRUE
pressure_test,Pressure Test,testing,120,TRUE
grease,Grease,maintenance,130,TRUE
rebuild,Rebuild,repair,140,TRUE
modify,Modify,fabrication,150,TRUE
calibrate,Calibrate,adjustment,160,TRUE
tighten,Tighten,adjustment,170,TRUE
machine,Machine,fabrication,180,TRUE
torque,Torque,maintenance,190,TRUE
secure,Secure,installation,200,TRUE
install,Install,installation,210,TRUE
fabricate,Fabricate,fabrication,220,TRUE
weld,Weld,repair,230,TRUE
remove,Remove,removal,240,TRUE
connect,Connect,other,250,TRUE
disconnect,Disconnect,other,260,TRUE
program,Program,electrical,270,TRUE
reset,Reset,adjustment,280,TRUE
bleed,Bleed,maintenance,290,TRUE
fill,Fill,other,300,TRUE
drain,Drain,maintenance,310,TRUE
change_fluid,Change Fluid,other,320,TRUE
document,Document,compliance,330,TRUE
wire,Wire,other,340,TRUE
rewire,Rewire,electrical,350,TRUE
scan,Scan,diagnostic,360,TRUE
overhaul,Overhaul,repair,370,TRUE
refurbish,Refurbish,repair,380,TRUE
trace,Trace,other,390,TRUE
air_test,Air Test,testing,400,TRUE
estimate,Estimate,other,410,TRUE
update_firmware,Update Firmware,electrical,420,TRUE
vacuum_test,Vacuum Test,other,430,TRUE
road_test,Road Test,other,440,TRUE
detail,Detail,other,450,TRUE
sanitize,Sanitize,other,460,TRUE
seal,Seal,repair,470,TRUE
flush,Flush,maintenance,480,TRUE
recover_refrigerant,Recover Refrigerant,hvac,490,TRUE
evacuate,Evacuate,hvac,500,TRUE
recharge,Recharge,hvac,510,TRUE
align,Align,adjustment,520,TRUE
top_off,Top Off,other,530,TRUE
smoke_test,Smoke Test,other,540,TRUE
photograph,Photograph,other,550,TRUE
reinspect,Reinspect,other,560,TRUE
pressure_wash,Pressure Wash,other,570,TRUE
replace_filter,Replace Filter,other,580,TRUE
charge,Charge,electrical,590,TRUE
credit,Credit,other,600,TRUE
regenerate,Regenerate,emissions,610,TRUE
reinforce,Reinforce,repair,620,TRUE
straighten,Straighten,repair,630,TRUE
paint,Paint,finishing,640,TRUE
refinish,Refinish,finishing,650,TRUE
prep,Prep,finishing,660,TRUE
sand,Sand,finishing,670,TRUE
prime,Prime,finishing,680,TRUE
apply_graphics,Apply Graphics,finishing,690,TRUE
remove_graphics,Remove Graphics,finishing,700,TRUE
undercoat,Undercoat,finishing,710,TRUE
spray_liner,Spray Liner,finishing,720,TRUE
cut,Cut,fabrication,730,TRUE
grind,Grind,fabrication,740,TRUE
drill,Drill,fabrication,750,TRUE
tap,Tap,fabrication,760,TRUE
coat,Coat,finishing,770,TRUE
wash,Wash,cleaning,780,TRUE
vacuum,Vacuum,other,790,TRUE
deodorize,Deodorize,other,800,TRUE
polish,Polish,finishing,810,TRUE
buff,Buff,other,820,TRUE
mount,Mount,installation,830,TRUE
dismount,Dismount,removal,840,TRUE
balance,Balance,adjustment,850,TRUE
rotate,Rotate,maintenance,860,TRUE
inflate,Inflate,maintenance,870,TRUE
patch,Patch,repair,880,TRUE
