key,label,sort_order,is_active
brakes_and_air_system,Brakes & Air System,0,TRUE
cab_body_and_frame,"Cab, Body & Frame",10,TRUE
cooling_system,Cooling System,20,TRUE
diagnostics_and_testing,Diagnostics & Testing,30,TRUE
drivetrain_axles_and_wheel_ends,"Drivetrain, Axles & Wheel Ends",40,TRUE
electrical_-_controls_sensors_and_modules,"Electrical - Controls, Sensors & Modules",50,TRUE
electrical_-_power_starting_and_charging,"Electrical - Power, Starting & Charging",60,TRUE
engine_-_mechanical,Engine - Mechanical,70,TRUE
equipment_and_hydraulics,Equipment & Hydraulics,80,TRUE
exhaust_and_aftertreatment,Exhaust & Aftertreatment,90,TRUE
fees_and_charges,Fees & Charges,100,TRUE
fluids_filters_and_shop_supplies,"Fluids, Filters & Shop Supplies",110,TRUE
fuel_air_intake_and_turbo,"Fuel, Air Intake & Turbo",120,TRUE
hvac_(cab),HVAC (Cab),130,TRUE
inspections_and_preventive_maintenance,Inspections & Preventive Maintenance,140,TRUE
steering,Steering,150,TRUE
suspension,Suspension,160,TRUE
tires_and_wheels,Tires & Wheels,170,TRUE
trailer_systems,Trailer Systems,180,TRUE
transmission_clutch_and_pto,"Transmission, Clutch & PTO",190,TRUE
windows_mirrors_wipers_and_interior,"Windows, Mirrors, Wipers & Interior",200,TRUE
