code,label,categories,is_quick_pick,ordering,active
aerial_device,Aerial Device,body___upfit|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,0,TRUE
truck_battery_box,Battery Box,body___upfit|cab_and_interior|general_orientation|trailer_areas|truck___tractor_areas,TRUE,10,TRUE
boom,Boom,body___upfit|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,20,TRUE
bucket,Bucket,body___upfit|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,30,TRUE
truck_cab_exterior,Cab - Exterior,body___upfit|bus___school_bus|cab_and_interior|general_orientation|trailer_areas|truck___tractor_areas,TRUE,40,TRUE
truck_cab_interior,Cab - Interior,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,50,TRUE
truck_cooling_pack_area,Cooling Pack Area,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,60,TRUE
crane,Crane,body___upfit|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,70,TRUE
truck_def_tank_area,DEF Tank Area,general_orientation|trailer_areas|truck___tractor_areas,TRUE,80,TRUE
drive_axle_forward,Drive Axle (Forward),general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,90,TRUE
drive_axle_forward_left_outer,Drive Axle (Forward) - Left Outer,general_orientation|trailer_axles_and_wheel_ends|truck___tractor_axles_and_wheel_ends,TRUE,100,TRUE
drive_axle_forward_right_outer,Drive Axle (Forward) - Right Outer,general_orientation|trailer_axles_and_wheel_ends|truck___tractor_axles_and_wheel_ends,TRUE,110,TRUE
drive_axle_rear,Drive Axle (Rear),bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,120,TRUE
drive_axle_rear_left_outer,Drive Axle (Rear) - Left Outer,general_orientation|trailer_axles_and_wheel_ends|truck___tractor_axles_and_wheel_ends,TRUE,130,TRUE
drive_axle_rear_right_outer,Drive Axle (Rear) - Right Outer,general_orientation|trailer_axles_and_wheel_ends|truck___tractor_axles_and_wheel_ends,TRUE,140,TRUE
driver_door,Driver Door,body___upfit|bus___school_bus|cab_and_interior|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas,TRUE,150,TRUE
driver_side,Driver Side (Left),bus___school_bus|cab_and_interior|general_orientation|trailer_areas|truck___tractor_areas,TRUE,160,TRUE
dump_body,Dump Body,body___upfit|bus___school_bus|cab_and_interior|general_orientation|trailer_areas|truck___tractor_areas,TRUE,170,TRUE
truck_engine_compartment,Engine Compartment,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,180,TRUE
truck_exhaust_area,Exhaust Area,general_orientation|truck___tractor_areas,TRUE,190,TRUE
truck_frame_left,Frame - Left Rail,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,200,TRUE
truck_frame_right,Frame - Right Rail,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,210,TRUE
front,Front,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,220,TRUE
truck_front_bumper,Front Bumper,general_orientation|truck___tractor_areas,TRUE,230,TRUE
truck_fuel_tank_area,Fuel Tank Area,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,240,TRUE
general,General,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,250,TRUE
hydraulic_pump_area,Hydraulic Pump Area,body___upfit|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,260,TRUE
hydraulic_reservoir_area,Hydraulic Reservoir Area,body___upfit|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,270,TRUE
left,Left,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,280,TRUE
liftgate_equipment,Liftgate,body___upfit|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,290,TRUE
multiple_locations,Multiple Locations,bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,300,TRUE
outrigger_front_left,Outrigger - Front Left,body___upfit|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,310,TRUE
outrigger_front_right,Outrigger - Front Right,body___upfit|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,320,TRUE
outrigger_rear_left,Outrigger - Rear Left,body___upfit|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,330,TRUE
outrigger_rear_right,Outrigger - Rear Right,body___upfit|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,340,TRUE
pto_area,PTO Area,body___upfit|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,350,TRUE
passenger_door,Passenger Door,body___upfit|bus___school_bus|cab_and_interior|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas,TRUE,360,TRUE
passenger_side,Passenger Side (Right),bus___school_bus|cab_and_interior|general_orientation|trailer_areas|truck___tractor_areas,TRUE,370,TRUE
rear,Rear,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,380,TRUE
right,Right,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,390,TRUE
service_body_left,Service Body - Left,body___upfit|bus___school_bus|cab_and_interior|general_orientation|trailer_areas|truck___tractor_areas,TRUE,400,TRUE
service_body_right,Service Body - Right,body___upfit|bus___school_bus|cab_and_interior|general_orientation|trailer_areas|truck___tractor_areas,TRUE,410,TRUE
steer_axle,Steer Axle,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,420,TRUE
steer_axle_left,Steer Axle - Left,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,430,TRUE
steer_axle_left_wheel_end,Steer Axle - Left Wheel End,general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,440,TRUE
steer_axle_right,Steer Axle - Right,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,450,TRUE
steer_axle_right_wheel_end,Steer Axle - Right Wheel End,general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,460,TRUE
tailgate,Tailgate,body___upfit|bus___school_bus|cab_and_interior|general_orientation|trailer_areas|truck___tractor_areas,TRUE,470,TRUE
trailer_air_electrical_front,Trailer - Air/Electrical (Front),general_orientation|trailer_areas|trailer_axles_and_wheel_ends,TRUE,480,TRUE
trailer_floor,Trailer - Floor,general_orientation|trailer_areas|trailer_axles_and_wheel_ends,TRUE,490,TRUE
trailer_front,Trailer - Front,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,500,TRUE
trailer_kingpin_area,Trailer - Kingpin Area,cab_and_interior|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,510,TRUE
trailer_landing_gear,Trailer - Landing Gear,cab_and_interior|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,520,TRUE
trailer_left_side,Trailer - Left Side,cab_and_interior|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,530,TRUE
trailer_rear,Trailer - Rear,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,540,TRUE
trailer_rear_doors,Trailer - Rear Doors,body___upfit|bus___school_bus|cab_and_interior|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas,TRUE,550,TRUE
trailer_right_side,Trailer - Right Side,cab_and_interior|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,560,TRUE
trailer_tandems,Trailer - Tandems,general_orientation|trailer_areas|trailer_axles_and_wheel_ends,TRUE,570,TRUE
trailer_axle_front,Trailer Axle (Front),general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,580,TRUE
trailer_axle_front_left,Trailer Axle (Front) - Left,general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_axles_and_wheel_ends,TRUE,590,TRUE
trailer_axle_front_right,Trailer Axle (Front) - Right,general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_axles_and_wheel_ends,TRUE,600,TRUE
trailer_axle_rear,Trailer Axle (Rear),cab_and_interior|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,610,TRUE
trailer_axle_rear_left,Trailer Axle (Rear) - Left,general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_axles_and_wheel_ends,TRUE,620,TRUE
trailer_axle_rear_right,Trailer Axle (Rear) - Right,general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_axles_and_wheel_ends,TRUE,630,TRUE
under_dash,Under Dash,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,640,TRUE
truck_underbody,Underbody,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|trailer_axles_and_wheel_ends|truck___tractor_areas|truck___tractor_axles_and_wheel_ends,TRUE,650,TRUE
truck_underhood,Underhood,body___upfit|bus___school_bus|cab_and_interior|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,660,TRUE
valve_bank_area,Valve Bank Area,body___upfit|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,670,TRUE
winch_attachment,Winch,body___upfit|equipment___attachments|general_orientation|trailer_areas|truck___tractor_areas,TRUE,680,TRUE
